"id","id_cliente","id_auto","calificacion","comentario","fecha"
1,1,1,5,"Excelente auto, muy potente y cómodo. Servicio impecable!","2024-11-13 10:00:00"
2,2,2,4,"Increíble experiencia, el Ferrari es una bestia. Volvería a alquilar!","2024-11-18 14:30:00"
3,3,3,5,"El Lamborghini superó todas mis expectativas. Atención de primera!","2024-11-28 16:20:00"
4,7,9,5,"El BMW M8 es una bestia! Muy cómodo para viajes largos.","2024-01-18 09:00:00"
5,8,4,4,"Buen SUV, ideal para familia. Podría mejorar el consumo.","2024-01-23 14:30:00"
6,9,10,5,"Audi R8 espectacular! Sonido del V10 increíble.","2024-02-13 11:20:00"
7,10,5,3,"Mercedes correcto, pero esperaba más por el precio.","2024-02-21 16:45:00"
8,11,11,5,"McLaren 720S: simplemente perfecto! Velocidad brutal.","2024-03-09 10:15:00"
9,12,6,4,"Corvette clásico muy bien mantenido. Experiencia única!","2024-03-18 13:20:00"
10,1,12,5,"Tesla Model S Plaid: el futuro ya llegó! Aceleración increíble.","2024-04-13 15:30:00"
11,13,15,5,"Rolls Royce Ghost: el máximo del lujo! Atención impecable.","2023-11-13 09:00:00"
12,14,16,4,"Bentley Continental muy cómodo para viajes largos.","2023-11-18 14:30:00"
13,15,17,5,"Lexus LC 500: diseño espectacular y confort excelente.","2023-12-26 11:20:00"
14,16,18,5,"Nissan GT-R: bestia japonesa! Aceleración brutal.","2023-12-28 16:45:00"
15,17,19,4,"Camaro ZL1 muy potente, consumo algo elevado.","2023-12-24 10:15:00"
16,18,20,3,"Challenger Hellcat incómodo para ciudad, mejor en ruta.","2024-01-11 13:20:00"
17,19,21,4,"Mustang GT clásico americano, muy divertido de manejar.","2024-01-13 15:30:00"
18,20,22,5,"Volvo XC90 perfecto para familia, muy seguro.","2024-01-16 10:45:00"
19,21,23,4,"Audi Q8 diseño moderno, tecnología de punta.","2024-01-19 12:00:00"
20,22,24,5,"BMW X7 espacioso y lujoso, ideal para viajes.","2024-02-15 17:30:00"
21,23,25,5,"Mercedes S-Class: el rey de los sedanes!","2024-02-17 14:20:00"
22,24,26,4,"Cadillac Escalade enorme y cómodo, gasta mucho.","2024-02-20 11:10:00"
23,25,27,5,"Land Rover Defender todoterreno excepcional.","2024-03-09 16:00:00"
24,26,28,3,"Jeep Grand Cherokee correcto, nada especial.","2024-03-14 10:30:00"
25,27,29,4,"Toyota Land Cruiser muy confiable para cualquier terreno.","2024-03-19 15:45:00"
26,28,1,5,"Porsche 911 siempre impecable! Segunda vez que lo alquilo.","2024-04-08 09:15:00"
27,29,2,5,"Ferrari F8 Tributo: sonido del V8 es música!","2024-04-10 14:20:00"
28,30,3,4,"Lamborghini Huracán llamativo, algo incómodo para viajar.","2024-04-12 16:35:00"
29,31,4,5,"Range Rover Autobiography: lujo y confort absolutos.","2024-05-13 11:50:00"
30,32,5,4,"Mercedes GLS muy espacioso, buen andar.","2024-05-18 13:05:00"
31,13,6,5,"Corvette clásico en perfecto estado! Experiencia única.","2024-05-23 15:20:00"
32,14,7,4,"Mustang Shelby muy bien cuidado, potencia controlada.","2024-06-08 10:35:00"
33,15,8,5,"Aston Martin DB11: elegancia británica en estado puro.","2024-06-13 12:50:00"
34,16,9,4,"BMW M8 Competition muy rápido, consumo aceptable.","2024-06-18 17:05:00"
35,17,10,5,"Audi R8 V10: deportivo perfecto! Sonido increíble.","2024-07-08 14:20:00"
